iter	Passed	Remaining
0	13	1344
1	22	1107
2	34	1107
3	44	1056
4	53	1021
5	62	985
6	71	953
7	79	919
8	92	938
9	101	916
10	110	894
11	119	878
12	127	854
13	136	839
14	145	822
15	153	804
16	161	787
17	169	772
18	178	762
19	187	749
20	197	742
21	205	730
22	214	716
23	223	706
24	231	695
25	242	689
26	251	680
27	260	670
28	273	669
29	281	656
30	289	644
31	299	635
32	308	626
33	317	615
34	325	604
35	333	593
36	344	586
37	355	580
38	367	574
39	377	565
40	393	566
41	406	560
42	414	549
43	425	541
44	433	530
45	441	518
46	450	507
47	458	496
48	469	488
49	478	478
50	488	469
51	498	460
52	507	450
53	517	440
54	529	433
55	539	423
56	549	414
57	558	404
58	567	394
59	577	384
60	585	374
61	593	363
62	601	353
63	610	343
64	619	333
65	628	323
66	635	313
67	645	303
68	654	293
69	661	283
70	670	273
71	679	264
72	686	253
73	694	243
74	701	233
75	707	223
76	717	214
77	725	204
78	733	195
79	741	185
80	747	175
81	756	166
82	766	156
83	773	147
84	782	138
85	795	129
86	802	119
87	812	110
88	819	101
89	827	91
90	836	82
91	845	73
92	852	64
93	862	55
94	869	45
95	877	36
96	885	27
97	895	18
98	904	9
99	915	0
