iter	Passed	Remaining
0	64	6428
1	72	3558
2	79	2578
3	85	2060
4	91	1737
5	98	1536
6	103	1379
7	109	1254
8	114	1162
9	120	1085
10	127	1027
11	133	975
12	138	926
13	144	889
14	151	856
15	157	827
16	163	797
17	170	775
18	175	748
19	181	725
20	187	704
21	193	686
22	199	668
23	205	650
24	210	632
25	216	615
26	222	600
27	228	586
28	234	574
29	242	565
30	249	555
31	261	555
32	270	549
33	278	540
34	285	530
35	292	520
36	301	513
37	308	504
38	316	494
39	321	482
40	327	471
41	333	461
42	339	450
43	345	439
44	351	430
45	357	420
46	364	411
47	369	400
48	376	391
49	381	381
50	387	372
51	393	363
52	400	354
53	406	346
54	412	337
55	417	328
56	423	319
57	429	311
58	435	302
59	440	293
60	446	285
61	451	276
62	457	268
63	463	260
64	468	252
65	473	244
66	480	236
67	486	228
68	491	220
69	497	213
70	502	205
71	507	197
72	514	190
73	520	182
74	526	175
75	532	168
76	538	160
77	544	153
78	550	146
79	555	138
80	562	131
81	568	124
82	573	117
83	580	110
84	585	103
85	591	96
86	597	89
87	603	82
88	608	75
89	614	68
90	619	61
91	625	54
92	630	47
93	636	40
94	642	33
95	647	26
96	653	20
97	659	13
98	665	6
99	671	0
