iter	Passed	Remaining
0	65	6493
1	75	3696
2	85	2756
3	96	2324
4	105	2012
5	114	1788
6	122	1631
7	130	1505
8	142	1441
9	152	1371
10	163	1324
11	175	1284
12	184	1233
13	193	1191
14	203	1154
15	212	1116
16	221	1083
17	230	1051
18	240	1024
19	249	999
20	259	974
21	268	950
22	276	927
23	286	906
24	295	885
25	304	865
26	313	846
27	322	829
28	331	810
29	339	793
30	350	780
31	359	764
32	369	750
33	379	736
34	389	723
35	398	707
36	407	694
37	417	680
38	426	667
39	435	652
40	444	639
41	453	626
42	463	613
43	471	600
44	480	586
45	489	574
46	498	562
47	506	549
48	515	536
49	524	524
50	533	512
51	542	500
52	550	488
53	559	476
54	567	464
55	576	452
56	584	441
57	593	430
58	603	419
59	612	408
60	621	397
61	631	386
62	640	376
63	649	365
64	658	354
65	667	343
66	676	333
67	685	322
68	694	312
69	704	302
70	714	291
71	723	281
72	733	271
73	741	260
74	750	250
75	760	240
76	769	229
77	778	219
78	786	209
79	795	198
80	803	188
81	812	178
82	821	168
83	831	158
84	840	148
85	849	138
86	858	128
87	867	118
88	876	108
89	885	98
90	894	88
91	903	78
92	911	68
93	920	58
94	929	48
95	939	39
96	947	29
97	956	19
98	966	9
99	974	0
